"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Digita texto no campo de input e valida que o resultado é exibido corretamente","4639","deve preencher campo de texto e validar resultado","Tarefa 2: Preenchimento de Formulário e Envio de Dados","2026-03-01","passed","2026-03-01","","Formulário de Inputs (tela Forms)","",""
"Verifica que caracteres especiais são aceitos no campo de texto","3564","deve preencher campo com caracteres especiais","Tarefa 2: Preenchimento de Formulário e Envio de Dados","2026-03-01","passed","2026-03-01","","Formulário de Inputs (tela Forms)","",""
"Clica no botão Active e valida que a interação foi registrada","2494","deve clicar no botão Active e validar interação","Tarefa 2: Preenchimento de Formulário e Envio de Dados","2026-03-01","passed","2026-03-01","","Formulário de Inputs (tela Forms)","",""
"Verifica validação de formato de email no formulário de cadastro","7480","deve exibir erro com email inválido no cadastro","Tarefa 2: Preenchimento de Formulário e Envio de Dados","2026-03-01","passed","2026-03-01","","Formulário de Cadastro (Sign Up)","",""
"Verifica que o switch alterna entre ON e OFF corretamente","2072","deve alternar o estado do switch","Tarefa 2: Preenchimento de Formulário e Envio de Dados","2026-03-01","passed","2026-03-01","","Formulário de Inputs (tela Forms)","",""
"Navega para a tela Home e valida que os elementos são exibidos","1185","deve navegar para a tela Home e validar exibição","Tarefa 1: Login, Navegação e Validação","2026-03-01","passed","2026-03-01","","Navegação entre telas","",""
"Realiza login com sucesso e navega pelas telas do app validando elementos","8762","deve realizar login e depois navegar para outras telas","Tarefa 1: Login, Navegação e Validação","2026-03-01","passed","2026-03-01","","Navegação entre telas","",""
"Preenche email, senha e confirmação de senha no formulário de cadastro","8639","deve preencher formulário de cadastro e enviar com sucesso","Tarefa 2: Preenchimento de Formulário e Envio de Dados","2026-03-01","passed","2026-03-01","","Formulário de Cadastro (Sign Up)","",""
"Verifica que o login é realizado com sucesso usando credenciais válidas","6818","deve realizar login com credenciais válidas","Tarefa 1: Login, Navegação e Validação","2026-03-01","passed","2026-03-01","","Login no aplicativo","",""
"Navega entre Home, Login, Forms e Swipe verificando cada tela","5683","deve navegar entre múltiplas telas sequencialmente","Tarefa 1: Login, Navegação e Validação","2026-03-01","passed","2026-03-01","","Navegação entre telas","",""
"Verifica validação de senha curta no formulário de cadastro","8456","deve exibir erro com senha fraca no cadastro","Tarefa 2: Preenchimento de Formulário e Envio de Dados","2026-03-01","passed","2026-03-01","","Formulário de Cadastro (Sign Up)","",""
"Navega para a tela Swipe e valida que o conteúdo é exibido","1194","deve navegar para a tela Swipe e validar exibição","Tarefa 1: Login, Navegação e Validação","2026-03-01","passed","2026-03-01","","Navegação entre telas","",""
"Verifica validação quando email está em formato inválido","5578","deve exibir erro ao tentar login com email inválido","Tarefa 1: Login, Navegação e Validação","2026-03-01","passed","2026-03-01","","Login no aplicativo","",""
"Verifica mensagem de erro quando senha e confirmação são diferentes","8474","deve exibir erro quando senhas não coincidem","Tarefa 2: Preenchimento de Formulário e Envio de Dados","2026-03-01","passed","2026-03-01","","Formulário de Cadastro (Sign Up)","",""
"Preenche todos os campos do formulário: texto, switch, dropdown e botão","10652","deve preencher formulário completo com todos os campos","Tarefa 2: Preenchimento de Formulário e Envio de Dados","2026-03-01","passed","2026-03-01","","Formulário de Inputs (tela Forms)","",""
"Abre o dropdown e seleciona uma opção da lista","5940","deve selecionar opção no dropdown","Tarefa 2: Preenchimento de Formulário e Envio de Dados","2026-03-01","passed","2026-03-01","","Formulário de Inputs (tela Forms)","",""
"Verifica validação quando campos de email e senha estão vazios","3255","deve exibir erro ao tentar login com campos vazios","Tarefa 1: Login, Navegação e Validação","2026-03-01","passed","2026-03-01","","Login no aplicativo","",""
